team,year,class
AGR Team,2015,moto2
Gresini Racing Moto2,2015,moto2
Petronas Raceline Malaysia,2015,moto2
QMMF Racing Team,2015,moto2
E-Motion IodaRacing Team,2015,moto2
Technomag Racing Interwette,2015,moto2
JPMoto Malaysia,2015,moto2
Tasca Racing Scuderia Moto2,2015,moto2
Athinà Forward Racing,2015,moto2
Petronas AHM Malaysia,2015,moto2
Octo Iodaracing Team,2015,moto2
Ciatti,2015,moto2
Promoto Sport,2015,moto2
FAB-Racing,2015,moto2
"Estrella Galicia 0,0 Marc VDS",2015,moto2
Sports-Millions-Emwe-SAG,2015,moto2
JIR Moto2,2015,moto2
Abbink GP,2015,moto2
Gresini Racing,2015,moto2
NTS T.Pro Project,2015,moto2
Moriwaki Racing,2015,moto2
Team Ciatti,2015,moto2
 Ducati Team,2017,motogp
 Monster Yamaha Tech 3,2017,motogp
 Reale Avintia Racing,2017,motogp
 OCTO Pramac Racing,2017,motogp
 Pull&Bear Aspar Team,2017,motogp
 Aprilia Racing Team Gresini,2017,motogp
 Movistar Yamaha MotoGP,2017,motogp
 Repsol Honda Team,2017,motogp
 Team SUZUKI ECSTAR,2017,motogp
 LCR Honda,2017,motogp
 Red Bull KTM Factory Racing,2017,motogp
" EG 0,0 Marc VDS",2017,motogp
 Yamalube Yamaha Factory Racing,2017,motogp
 Ducati Lenovo Team,2024,motogp
 CASTROL Honda LCR,2024,motogp
 Repsol Honda Team,2024,motogp
 Aprilia Racing,2024,motogp
 Monster Energy Yamaha MotoGP Tea,2024,motogp
 Prima Pramac Racing,2024,motogp
 Trackhouse Racing,2024,motogp
 IDEMITSU Honda LCR,2024,motogp
 Red Bull GASGAS Tech3,2024,motogp
 Red Bull KTM Factory Racing,2024,motogp
 Pertamina Enduro VR46 Racing Team,2024,motogp
 Gresini Racing MotoGP,2024,motogp
 HRC Test Team,2024,motogp
 Pertamina Enduro VR46 MotoGP Tea,2024,motogp
 Yamaha Factory Racing Team,2024,motogp
 Yamaha Factory Racing,2024,motogp
 Ducati Team,2016,motogp
 Aprilia Racing Team Gresini,2016,motogp
 Avintia Racing,2016,motogp
 OCTO Pramac Yakhnich,2016,motogp
 Monster Yamaha Tech 3,2016,motogp
 Team SUZUKI ECSTAR,2016,motogp
 Repsol Honda Team,2016,motogp
 LCR Honda,2016,motogp
" Estrella Galicia 0,0 Marc VDS",2016,motogp
 Movistar Yamaha MotoGP,2016,motogp
 Pull & Bear Aspar Team,2016,motogp
 Aspar Team MotoGP,2016,motogp
 Red Bull KTM Factory Racing,2016,motogp
 Yamalube Yamaha Factory Racing,2016,motogp
 Aprilia Racing,2025,motogp
 CASTROL Honda LCR,2025,motogp
 Honda HRC Castrol,2025,motogp
 Red Bull KTM Tech3,2025,motogp
 Monster Energy Yamaha MotoGP Team,2025,motogp
 Pertamina Enduro VR46 Racing Team,2025,motogp
 Trackhouse MotoGP Team,2025,motogp
 Red Bull KTM Factory Racing,2025,motogp
 IDEMITSU Honda LCR,2025,motogp
 Honda HRC Test Team,2025,motogp
 Prima Pramac Yamaha MotoGP,2025,motogp
 BK8 Gresini Racing MotoGP,2025,motogp
 Ducati Lenovo Team,2025,motogp
 Yamaha Factory Racing Team,2025,motogp
 Yamaha Factory Racing,2025,motogp
Repsol Honda Team,2012,motogp
Monster Yamaha Tech 3,2012,motogp
NGM Mobile Forward Racing,2012,motogp
LCR Honda MotoGP,2012,motogp
Pramac Racing Team,2012,motogp
Came IodaRacing Project,2012,motogp
Yamaha Factory Racing,2012,motogp
Power Electronics Aspar,2012,motogp
Cardion AB Motoracing,2012,motogp
San Carlo Honda Gresini,2012,motogp
Avintia Blusens,2012,motogp
Ducati Team,2012,motogp
Speed Master,2012,motogp
Paul Bird Motorsport,2012,motogp
Attack Performance,2012,motogp
GPTech,2012,motogp
Yamaha YSP Racing Team,2012,motogp
 Petronas Yamaha SRT,2021,motogp
 Pramac Racing,2021,motogp
 Repsol Honda Team,2021,motogp
 Tech 3 KTM Factory Racing,2021,motogp
 SKY VR46 Avintia,2021,motogp
 Aprilia Racing Team Gresini,2021,motogp
 Monster Energy Yamaha MotoGP,2021,motogp
 Avintia Esponsorama,2021,motogp
 LCR Honda IDEMITSU,2021,motogp
 Red Bull KTM Factory Racing,2021,motogp
 Team SUZUKI ECSTAR,2021,motogp
 Ducati Lenovo Team,2021,motogp
 LCR Honda CASTROL,2021,motogp
 Honda HRC,2021,motogp
 SKY VR46 Esponsorama,2021,motogp
 Esponsorama Racing,2021,motogp
 Team Honda HRC,2021,motogp
 KTM Factory Racing,2021,motogp
 Aprilia Factory Racing,2021,motogp
 Ducati Team,2020,motogp
 Esponsorama Racing,2020,motogp
 Repsol Honda Team,2020,motogp
 Monster Energy Yamaha MotoGP,2020,motogp
 Petronas Yamaha SRT,2020,motogp
 Red Bull KTM Tech 3,2020,motogp
 Aprilia Racing Team Gresini,2020,motogp
 LCR Honda IDEMITSU,2020,motogp
 Red Bull KTM Factory Racing,2020,motogp
 LCR Honda CASTROL,2020,motogp
 Team SUZUKI ECSTAR,2020,motogp
 Pramac Racing,2020,motogp
 Reale Avintia Racing,2020,motogp
 Aprilia Factory Racing,2020,motogp
 SUZUKI Test Team,2020,motogp
aha Test Team,2020,motogp
 NTS RW Racing GP,2020,motogp
 Flexbox HP 40,2020,motogp
 Beta Tools Speed Up SPEED,2020,motogp
 SKY Racing Team VR46,2020,motogp
 Federal Oil Gresini Moto2,2020,motogp
 Liqui Moly Intact GP,2020,motogp
 American Racing,2020,motogp
 Italtrans Racing Team,2020,motogp
" EG 0,0 Marc VDS",2020,motogp
 MV Agusta Forward Racing MV,2020,motogp
 IDEMITSU Honda Team Asia,2020,motogp
 Aspar Team SPEED,2020,motogp
 Red Bull KTM Ajo,2020,motogp
 Onexox TKKR SAG Team,2020,motogp
 Petronas Sprinta Racing,2020,motogp
Drive M7 Aspar,2014,motogp
Ducati Team,2014,motogp
LCR Honda MotoGP,2014,motogp
Avintia Racing,2014,motogp
Octo IodaRacing Team,2014,motogp
NGM Forward Racing,2014,motogp
Cardion AB Motoracing,2014,motogp
GO&FUN Honda Gresini,2014,motogp
Paul Bird Motorsport,2014,motogp
Repsol Honda Team,2014,motogp
Pramac Racing,2014,motogp
Monster Yamaha Tech 3,2014,motogp
Movistar Yamaha MotoGP,2014,motogp
Energy T.I. Pramac Racing,2014,motogp
IodaRacing Project,2014,motogp
Team Suzuki MotoGP,2014,motogp
Emergy T.I. Pramac Racing,2014,motogp
YAMALUBE Racing Team wit,2014,motogp
 Ducati Team,2018,motogp
 Monster Yamaha Tech 3,2018,motogp
 HRC Honda Team,2018,motogp
 Alma Pramac Racing,2018,motogp
 Reale Avintia Racing,2018,motogp
" EG 0,0 Marc VDS",2018,motogp
 Angel Nieto Team,2018,motogp
 Movistar Yamaha MotoGP,2018,motogp
 Repsol Honda Team,2018,motogp
 Team SUZUKI ECSTAR,2018,motogp
 LCR Honda IDEMITSU,2018,motogp
 LCR Honda CASTROL,2018,motogp
 Red Bull KTM Factory Racing,2018,motogp
 Aprilia Racing Team Gresini,2018,motogp
 Yamalube Yamaha Factory Racing,2018,motogp
Ducati Team,2013,motogp
NGM Mobile Forward Racing,2013,motogp
LCR Honda MotoGP,2013,motogp
Avintia Blusens,2013,motogp
Came IodaRacing Project,2013,motogp
Ignite Pramac Racing,2013,motogp
Power Electronics Aspar,2013,motogp
Cardion AB Motoracing,2013,motogp
GO&FUN Honda Gresini,2013,motogp
Repsol Honda Team,2013,motogp
Energy T.I. Pramac Racing,2013,motogp
Monster Yamaha Tech 3,2013,motogp
Yamaha Factory Racing,2013,motogp
Paul Bird Motorsport,2013,motogp
Ducati Test Team,2013,motogp
Remus Racing Team,2013,motogp
Attack Performance Racing,2013,motogp
Yamaha YSP Racing Team,2013,motogp
GP Tech,2013,motogp
 Ducati Lenovo Team,2023,motogp
 Prima Pramac Racing,2023,motogp
 HRC Team,2023,motogp
 LCR Honda CASTROL,2023,motogp
 Mooney VR46 Racing Team,2023,motogp
 Aprilia Racing,2023,motogp
 Monster Energy Yamaha MotoGP,2023,motogp
 CryptoDATA RNF MotoGP Team,2023,motogp
 Red Bull KTM Factory Racing,2023,motogp
 LCR Honda IDEMITSU,2023,motogp
 Repsol Honda Team,2023,motogp
 GASGAS Factory Racing Tech3,2023,motogp
 Gresini Racing MotoGP,2023,motogp
 Aruba.it Racing,2023,motogp
 Honda Tet Team,2023,motogp
 Monster Energy Yamaha MotoGP Tea,2023,motogp
 RNF MotoGP Team,2023,motogp
 Yamaha Factory,2023,motogp
 Tech3 GASGAS Factory Racing,2023,motogp
 Liqui Moly Husqvarna Intact GP,2023,motogp
 American Racing,2023,motogp
 Pons Wegow Los40,2023,motogp
 QJMOTOR Gresini Moto2,2023,motogp
 Fantic Racing,2023,motogp
 Elf Marc VDS Racing Team,2023,motogp
 Forward Team,2023,motogp
 Correos Prepago Yamaha VR46 Maste,2023,motogp
 Pertamina Mandalika SAG Team,2023,motogp
 Autosolar GASGAS Aspar M2,2023,motogp
 Red Bull KTM Ajo,2023,motogp
 IDEMITSU Honda Team Asia,2023,motogp
 Honda Test Team,2023,motogp
 Ducati Team,2023,motogp
 Yamalube RS4GP Racing Team,2023,motogp
 HRC Test Team,2023,motogp
 Ducati Team,2019,motogp
 Red Bull KTM Factory Racing,2019,motogp
 HRC Team,2019,motogp
 Monster Energy Yamaha MotoGP,2019,motogp
 Reale Avintia Racing,2019,motogp
 Petronas Yamaha SRT,2019,motogp
 Aprilia Racing Team Gresini,2019,motogp
 LCR Honda IDEMITSU,2019,motogp
 LCR Honda CASTROL,2019,motogp
 Team SUZUKI ECSTAR,2019,motogp
 Pramac Racing,2019,motogp
 Red Bull KTM Tech 3,2019,motogp
 Repsol Honda Team,2019,motogp
 Mission Winnow Ducati,2019,motogp
 Aprilia Racing Team,2019,motogp
 WithU Yamaha RNF MotoGP Team,2022,motogp
 Prima Pramac Racing,2022,motogp
 Repsol Honda Team,2022,motogp
 Mooney VR46 Racing Team,2022,motogp
 Aprilia Racing,2022,motogp
 Monster Energy Yamaha MotoGP,2022,motogp
 Gresini Racing MotoGP,2022,motogp
 Tech3 KTM Factory Racing,2022,motogp
 LCR Honda IDEMITSU,2022,motogp
 Red Bull KTM Factory Racing,2022,motogp
 Team SUZUKI ECSTAR,2022,motogp
 Ducati Lenovo Team,2022,motogp
 Aruba.it Racing,2022,motogp
 LCR Honda CASTROL,2022,motogp
 Pramac Racing,2022,motogp
 Team HRC,2022,motogp
 Pertamina Mandalika SAG Team,2022,motogp
 American Racing,2022,motogp
 MB Conveyors Speed Up,2022,motogp
 RW Racing GP,2022,motogp
 Flexbox HP40,2022,motogp
 Gresini Racing Moto2,2022,motogp
 Elf Marc VDS Racing Team,2022,motogp
 Italtrans Racing Team,2022,motogp
 Yamaha VR46 Master Camp Team,2022,motogp
 Liqui Moly Intact GP,2022,motogp
 MV Agusta Forward Racing MV,2022,motogp
 IDEMITSU Honda Team Asia,2022,motogp
 Red Bull KTM Ajo,2022,motogp
 GASGAS Aspar Team,2022,motogp
 Tech 3 KTM Factory Racing,2022,motogp
 Aprilia Racing Test Team,2022,motogp
 Yamaha Factory,2022,motogp
 Suzuki Test Team,2022,motogp
 HRC Team,2022,motogp
 Honda Test Team,2022,motogp
 KTM Test Team,2022,motogp
 Honda Racing Corporation,2022,motogp
 VR46 Racing Team,2022,motogp
 Team Gresini Racing MotoGP,2022,motogp
Ducati Team,2015,motogp
Aprilia Racing Team Gresini,2015,motogp
Avintia Racing,2015,motogp
Octo Pramac Racing,2015,motogp
E-Motion IodaRacing Team,2015,motogp
AB Motoracing,2015,motogp
Team SUZUKI ECSTAR,2015,motogp
Repsol Honda Team,2015,motogp
LCR Honda,2015,motogp
Monster Yamaha Tech 3,2015,motogp
"EG 0,0 Marc VDS",2015,motogp
Movistar Yamaha MotoGP,2015,motogp
Aspar MotoGP Team,2015,motogp
Forward Racing,2015,motogp
Athinà Forward Racing,2015,motogp
CWM LCR Honda,2015,motogp
Pramac Racing,2015,motogp
Octo IodaRacing Team,2015,motogp
Team SUZUKI ECSTAR Moto,2015,motogp
"Estrella Galicia 0,0 Marc VDS",2015,motogp
Yamaha Factory Racing Tea,2015,motogp
Team HRC with Nissin,2015,motogp
